0.00 0.00
3.00 3.00
2.00 2.00
0.00 0.00
0.00 0.00
4.00 4.00
0.00 0.00
3.00 3.00
0.00 0.00
2.00 2.00
2.00 2.00
4.00 4.00
2.00 2.00
8.00 8.00
7.00 7.00
2.00 2.00
2.00 2.00
4.00 4.00
2.00 2.00
1.00 1.00
0.00 0.00
2.00 2.00
0.00 2.00
6.00 2.00
7.00 7.00
2.00 2.00
2.00 2.00
0.00 0.00
0.00 0.00
1.00 1.00
4.00 4.00
0.00 0.00
1.00 1.00
3.00 3.00
0.00 0.00
0.00 0.00
7.00 7.00
0.00 0.00
8.00 8.00
2.00 2.00
4.00 4.00
2.00 2.00
3.00 3.00
7.00 7.00
0.00 0.00
0.00 0.00
4.00 4.00
2.00 2.00
6.00 6.00
0.00 0.00
